tourney_id,tourney_name,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ioc,loser_id,loser_name,loser_hand,loser_ioc,score,round,tourney_year
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,60,200123,Marlene Weingartner,R,GER,200715,Mariaan De Swardt,R,RSA,1-6 7-6(2) 6-3,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,61,200124,Anne Kremer,R,LUX,200775,Tatiana Kovaltchouk,U,UKR,6-4 6-1,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,62,200070,Anne Gaelle Sidot,L,FRA,200776,Angelika Bachmann,R,GER,6-3 7-6(5),R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,63,200777,Marta Marrero,R,ESP,200051,Irina Spirlea,R,ROU,6-3 6-4,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,64,200080,Dominique Monami,R,BEL,200128,Lindsay Davenport,R,USA,6-7(5) 6-4 6-3,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,65,200001,Martina Hingis,R,SUI,200018,Julia Abe,R,GER,6-4 7-5,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,66,200060,Tathiana Garbin,R,ITA,200020,Lisa Raymond,R,USA,6-1 3-6 6-4,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,67,200086,Magdalena Maleeva,R,BUL,200044,Denisa Chladkova,R,CZE,7-6(5) 2-6 6-2,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,68,200059,Ruxandra Dragomir Ilie,R,ROU,200046,Meghann Shaughnessy,R,USA,6-1 7-5,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,69,200110,Fabiola Zuluaga,R,COL,200015,Petra Mandula,R,HUN,6-1 6-0,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,70,200116,Natalia Zvereva,R,BLR,200042,Els Callens,R,BEL,6-4 4-6 6-2,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,71,200039,Chanda Rubin,R,USA,200089,Miriam Oremans,R,NED,1-6 7-6(2) 6-3,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,72,200097,Nathalie Tauziat,R,FRA,200026,Florencia Labat,L,ARG,6-1 6-3,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,73,200652,Monica Seles,L,USA,200022,Emmanuelle Gagliardi,R,SUI,6-0 6-1,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,74,200119,Rita Kuti Kis,L,HUN,200058,Anna Foldenyi Dicker,R,HUN,6-2 7-5,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,75,200117,Kveta Peschke,R,CZE,200120,Jelena Dokic,R,AUS,6-3 6-1,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,76,200065,Amelie Mauresmo,R,FRA,200106,Angeles Montolio,R,ESP,6-3 6-4,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,77,200016,Sandrine Testud,R,FRA,200010,Rita Grande,R,ITA,6-1 6-1,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,78,200084,Asa Carlsson,R,SWE,200723,Iva Majoli,R,CRO,7-6(6) 1-6 6-1,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,79,200043,Virginie Razzano,R,FRA,200108,Elena Dementieva,R,RUS,W/O,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,80,200096,Mary Pierce,R,FRA,200094,Barbara Rittner,R,GER,6-1 6-1,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,81,200017,Arantxa Sanchez Vicario,R,ESP,200099,Sonya Jeyaseelan,R,CAN,3-6 6-2 6-2,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,82,200027,Magui Serna,L,ESP,200062,Kristina Brandi,R,PUR,5-7 6-2 6-2,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,83,200769,Giulia Casoni,R,ITA,200011,Katarina Srebotnik,R,SLO,6-3 7-6(5),R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,84,200032,Barbara Schett,R,AUT,200019,Alexandra Fusai,R,FRA,6-1 6-2,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,85,200081,Anke Huber,R,GER,200125,Corina Morariu,R,USA,7-6(5) 6-1,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,86,200732,Magdalena Grzybowska,R,POL,200057,Erika De Lone,R,USA,6-3 6-4,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,87,200104,Emilie Loit,L,FRA,200671,Meike Babel,R,GER,6-4 6-1,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,88,200748,Venus Williams,R,USA,200009,Tamarine Tanasugarn,R,THA,6-2 6-2,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,89,200049,Conchita Martinez,R,ESP,200072,Cara Black,R,ZIM,4-6 7-5 6-4,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,90,200700,Silvia Farina Elia,R,ITA,200773,Stephanie Foretz Gacon,R,FRA,6-4 6-7(4) 6-3,R64,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,91,200085,Ai Sugiyama,R,JPN,200088,Adriana Gersi,R,CZE,6-3 7-6(5),R64,2000
